Country,Population millions (2021),Surface area sq. km thousands (2018),Population density people per sq. km(2021),"Gross national income, Atlas method","Gross national income per capita, Atlas method",Purchasing power parity gross national income2021 (2021),Purchasing power parity gross national income2021 per capita (2021),Gross domestic product %growth(2021),Gross domestic product per capita%growth(2021)
World,7836.6,134542.7,60,94585,12070,145976.2,18627,5.8,4.8
East Asia & Pacific,2368.6,24868.2,97,30176.3,12740,47833.8,20195,5.8,5.4
Europe & Central Asia,923.8,28724.8,34,24406.5,26421,35709,38656,5.8,5.7
Latin America & Caribbean,658.1,20426,33,5280.4,8024,10946.1,16633,6.8,5.8
Middle East & North Africa,472.5,11385.6,42,3274.5,7049,7684.4,16542,4.3,2.6
North America,370.2,19715.6,20,25230,68152,25375.7,68545,5.6,5.4
South Asia,1877.9,5135.3,394,3951.8,2104,13065.8,6958,8.3,7.1
Sub-Saharan Africa,1165.6,24287.4,49,1839.2,1578,4674.3,4010,4.1,1.5
Low income,701.9,15986.6,45,506.5,722,1498.5,2135,3,0.3
Lower middle income,3363.2,25638.2,135,8357.4,2485,26603.7,7910,5.6,4.2
Upper middle income,2501.4,54597.4,47,25922.5,10363,49082.3,19622,7.4,7
High income,1241.4,37408.5,35,59466.3,47904,68357.5,55066,5.1,5
